image_id,preprocess_ms,inference_ms,postprocess_ms,total_ms,nms_included_in_postprocess,memory_transfer_included,providers_enabled
397133,12.404343000525841,552.1533980008826,13.92508800017822,578.4838310009945,True,False,CPUExecutionProvider
37777,9.59670199881657,407.37437899952056,13.269901999592548,430.24218499886047,True,False,CPUExecutionProvider
252219,8.117092998872977,526.9899570012058,13.142003999746521,548.2503570001427,True,False,CPUExecutionProvider
87038,13.73744700140378,298.2611879997421,4.914333001579507,316.91394000154105,True,False,CPUExecutionProvider
174482,4.233969999404508,409.7538700007135,4.856444998949883,418.844915999216,True,False,CPUExecutionProvider
403385,4.086844999619643,382.5311500004318,4.688611001256504,391.3068370002293,True,False,CPUExecutionProvider
6818,3.7794389991177013,306.5879900004802,4.331312000431353,314.6991720004735,True,False,CPUExecutionProvider
480985,3.927506999389152,329.0593190013169,4.695894000178669,337.68330100065214,True,False,CPUExecutionProvider
458054,4.582231000313186,298.39442699994834,4.531477001364692,307.50836600054754,True,False,CPUExecutionProvider
331352,3.589315001590876,421.0222000001522,12.718300999040366,437.33005600006436,True,False,CPUExecutionProvider
296649,11.05813600042893,248.28455399983795,4.872415000136243,264.2156559995783,True,False,CPUExecutionProvider
386912,4.9911770001926925,381.45177400110697,16.220532999795978,402.6638150007784,True,False,CPUExecutionProvider
502136,7.870842999182059,258.0628460000298,4.5563639996544225,270.4909249987395,True,False,CPUExecutionProvider
491497,3.8683469992975006,386.7330690009112,4.568426000332693,395.17074300056265,True,False,CPUExecutionProvider
184791,4.397986998810666,284.4327400016482,4.50626899873896,293.3372869993036,True,False,CPUExecutionProvider
348881,4.508554000494769,324.6825339992938,4.45233900063613,333.64379800150346,True,False,CPUExecutionProvider
289393,6.065846999263158,381.75647699972615,4.575299000862287,392.3986249992595,True,False,CPUExecutionProvider
522713,4.432923000422306,344.28353700059233,4.628568000043742,353.3455390006566,True,False,CPUExecutionProvider
181666,4.136188001211849,402.46607100016263,90.34938700096973,496.952126000906,True,False,CPUExecutionProvider
17627,3.675976000522496,308.3034349983791,4.703789001723635,316.68359100149246,True,False,CPUExecutionProvider
143931,5.203124001127435,330.7902109991119,4.2501610005274415,340.24407700053416,True,False,CPUExecutionProvider
303818,5.053873999713687,458.8084999995772,13.091210999846226,476.95380599907367,True,False,CPUExecutionProvider
463730,15.278482000212534,388.1652189993474,4.892692999419523,408.33703499993135,True,False,CPUExecutionProvider
460347,4.159891001108917,346.7690699999366,4.626374999133986,355.5558269999892,True,False,CPUExecutionProvider
322864,4.384743000628077,382.9482660003123,4.60442399889871,391.93767299911997,True,False,CPUExecutionProvider
226111,4.4658440001512645,293.7186010003643,4.0188080001826165,302.2036439997464,True,False,CPUExecutionProvider
153299,4.853829999774462,272.61991200066404,4.322015000070678,281.79614799955743,True,False,CPUExecutionProvider
308394,3.7089380002726102,258.98581900037243,4.3921969991060905,267.0871949994762,True,False,CPUExecutionProvider
456496,4.17725500119559,291.6327540006023,4.393919998619822,300.2046399997198,True,False,CPUExecutionProvider
58636,5.322406999766827,329.80218999909994,4.139985001529567,339.265153001179,True,False,CPUExecutionProvider
41888,5.337824999514851,265.7048430010036,4.384171999845421,275.4272010006389,True,False,CPUExecutionProvider
184321,8.031274999666493,351.2380360007228,4.624011000487371,363.8937830000941,True,False,CPUExecutionProvider
565778,5.190519999814569,560.3089039996121,4.4813229997089365,569.9815389998548,True,False,CPUExecutionProvider
297343,4.540122999969753,414.86435400111077,4.339317998528713,423.74442599975737,True,False,CPUExecutionProvider
336587,7.743095999103389,347.1343250002974,4.550744000880513,359.4288559997949,True,False,CPUExecutionProvider
122745,6.77512500078592,325.2863580000849,4.385894999359152,336.448209000082,True,False,CPUExecutionProvider
219578,5.019771000661422,307.90218599941,11.576798000533017,324.499205000393,True,False,CPUExecutionProvider
555705,7.636656999238767,398.72847399965394,7.385527000224101,413.7510189993918,True,False,CPUExecutionProvider
443303,8.986852999441908,355.0403480003297,5.807303999972646,369.8349149999558,True,False,CPUExecutionProvider
500663,7.856448000893579,296.3729520015477,4.554690998702426,308.7849319999805,True,False,CPUExecutionProvider
418281,5.749896999986959,298.2855700010987,4.471455000384594,308.5074430000532,True,False,CPUExecutionProvider
25560,6.226268000318669,362.7028290011367,4.346551999333315,373.27634999928705,True,False,CPUExecutionProvider
403817,6.311066999842296,259.84401700043236,12.861100998634356,279.01664599994547,True,False,CPUExecutionProvider
85329,10.174875998927746,265.8046769993234,4.443883999556419,280.42476999871724,True,False,CPUExecutionProvider
329323,7.893546999184764,352.2051449999708,4.7353089994430775,364.83487299847184,True,False,CPUExecutionProvider
239274,9.49286000104621,325.20066400138603,4.7517999992123805,339.4460750005237,True,False,CPUExecutionProvider
286994,7.543563000581344,269.26897399971494,4.484680001041852,281.29781800089404,True,False,CPUExecutionProvider
511321,7.51663200026087,263.49829100036004,4.4045300001016585,275.4205050005112,True,False,CPUExecutionProvider
314294,7.310185999813257,340.3640179985814,11.606895001023076,359.281920000285,True,False,CPUExecutionProvider
233771,11.429051999584772,350.6638380004006,4.782387000886956,366.8759379997937,True,False,CPUExecutionProvider
475779,5.559670998991351,281.1409130008542,4.342243999417406,291.04320899932645,True,False,CPUExecutionProvider
301867,4.986808999092318,305.9972770006425,4.430528999364469,315.4150859991205,True,False,CPUExecutionProvider
312421,5.043285000283504,406.36659700066957,5.310234999342356,416.72060800010513,True,False,CPUExecutionProvider
185250,4.643628000849276,321.451755000453,4.471426000236534,330.56699900043895,True,False,CPUExecutionProvider
356427,9.169705999738653,389.41383699966536,4.639019000023836,403.2235329996183,True,False,CPUExecutionProvider
572517,7.5455169990163995,364.4271610010037,4.515758000707137,376.48930700015626,True,False,CPUExecutionProvider
270244,4.586792001646245,285.57297499901324,4.4574300009117,294.6174370008521,True,False,CPUExecutionProvider
516316,11.187431000507786,426.19866499990167,5.395173999204417,442.78220100022736,True,False,CPUExecutionProvider
125211,5.140528000993072,303.39031199946476,4.503836000367301,313.03525700059254,True,False,CPUExecutionProvider
562121,7.875384999351809,327.2388030000002,4.464652998649399,339.5798429992283,True,False,CPUExecutionProvider
360661,7.696871000007377,475.8318429994688,12.809535999622312,496.3390309985698,True,False,CPUExecutionProvider
16228,14.23780799996166,317.5450019989512,4.933109999910812,336.71654099998705,True,False,CPUExecutionProvider
382088,4.079031999935978,347.1411850005097,4.297359999327455,355.51797799962515,True,False,CPUExecutionProvider
266409,9.319016000517877,274.01710400044976,5.444395999802509,288.7817080008972,True,False,CPUExecutionProvider
430961,5.6962969993037404,373.43670900008874,4.412595999383484,383.54626299951633,True,False,CPUExecutionProvider
80671,6.631668000409263,290.25593100050173,4.328147999331122,301.2165479995019,True,False,CPUExecutionProvider
577539,4.249851999702514,322.51765100045304,4.527221000898862,331.2955250003142,True,False,CPUExecutionProvider
104612,6.820020000304794,429.0897109985963,6.712639000397758,442.6227509993623,True,False,CPUExecutionProvider
476258,4.917019999993499,355.37063400079205,4.356230998382671,364.64496699954907,True,False,CPUExecutionProvider
448365,7.253461999425781,342.7494520001346,4.371670000182348,354.3752450004831,True,False,CPUExecutionProvider
35197,6.131381000159308,470.54573300010816,10.58449400079553,487.26223000085156,True,False,CPUExecutionProvider
349860,15.354427998317988,301.19765200106485,4.592001998389605,321.1452339983225,True,False,CPUExecutionProvider
180135,5.636896999931196,333.93589000115753,4.34708399916417,343.9203819998511,True,False,CPUExecutionProvider
486438,6.582485999388155,315.14439200145716,4.530305999651318,326.25776500026404,True,False,CPUExecutionProvider
400573,8.186356000805972,287.26193299917213,4.44127000082517,299.8899900012475,True,False,CPUExecutionProvider
109798,6.119620000390569,315.1627700008248,4.416042998855119,325.6989839992457,True,False,CPUExecutionProvider
370677,7.274841000253218,372.1408399997017,13.124236000294331,392.540368000482,True,False,CPUExecutionProvider
238866,11.435596999945119,317.8521230001934,5.013920999772381,334.3026429993188,True,False,CPUExecutionProvider
369370,7.819030000973726,397.9504460003227,4.473529999813763,410.2436270004546,True,False,CPUExecutionProvider
502737,4.790854000020772,356.22365399831324,4.3382970015954925,365.35317600100825,True,False,CPUExecutionProvider
515579,6.264461000682786,282.7887439998449,4.451037999388063,293.50504399917554,True,False,CPUExecutionProvider
515445,7.044670999675873,285.8819550001499,4.887303999566939,297.8143709988217,True,False,CPUExecutionProvider
173383,8.240228999056853,330.4674780010828,4.495791999943322,343.20445000048494,True,False,CPUExecutionProvider
438862,5.210328999964986,316.144278000138,4.565061999528552,325.92033999935666,True,False,CPUExecutionProvider
180560,6.510852999781491,305.2082710000832,4.403830000228481,316.1234050003259,True,False,CPUExecutionProvider
347693,6.895140999404248,296.5372770013346,4.087918998266105,307.5207779984339,True,False,CPUExecutionProvider
39956,4.0203120006481186,284.8385180004698,4.456949000086752,293.3162099998299,True,False,CPUExecutionProvider
321214,11.251231999267475,536.0993949998374,4.339389999586274,551.6909389989451,True,False,CPUExecutionProvider
